Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2004-07-30,365.5926818847656,369.2959659113927,360.4252941549456,361.71714108740065,3064558
2004-08-02,364.4731140136719,371.87968251990054,362.7937023856928,366.9706796459602,3200974
2004-08-03,362.44915771484375,368.90839174938645,359.9946435251794,365.16203075281356,4396413
2004-08-04,354.9995422363281,364.9037019035222,353.57848960575046,364.4730862658181,5212745
2004-08-05,356.59271240234375,358.61661066419737,352.8894293312224,357.4108924282057,6042084
2004-08-06,344.1048889160156,363.2672816385717,342.94224791180903,356.54968930958245,9887359
2004-08-09,347.1192321777344,349.6168237380724,339.5404079663867,344.4924874738229,6605472
2004-08-10,356.5066833496094,358.616684124141,349.22926883733305,349.22926883733305,6821165
2004-08-11,345.9996643066406,357.32485030245385,344.75086844634603,356.5497474124436,5705844
2004-08-12,339.2821350097656,347.7652436353206,336.440055498964,346.0427807618763,5748417
2004-08-13,333.42572021484375,342.5117269536542,331.5740780226848,342.5117269536542,5981844
2004-08-16,332.9520568847656,335.96636671585406,327.78466860289967,335.96636671585406,4017929
2004-08-17,333.16729736328125,339.8848902583286,329.5931931142152,336.0954782077201,3839338
2004-08-18,325.5023193359375,334.02850235125146,324.38270308618223,332.5213478587524,3719959
2004-08-19,331.7893371582031,333.12423507496476,326.2343851145089,327.26787312165396,3733552
2004-08-20,320.24884033203125,331.78933363677197,318.2679927198088,331.5740258277929,4729186
2004-08-23,310.8614196777344,326.7511199327435,308.3207770631599,321.8421177435313,5025973
2004-08-24,312.4546813964844,320.20576250780204,311.1197834959451,312.7130665364765,5039854
2004-08-25,310.2154541015625,316.0287640522074,306.85663177059547,312.6268906791254,4763584
2004-08-26,311.6365051269531,315.8995836626,308.49301660284436,312.8422235123071,4670328
2004-08-27,310.8614196777344,315.12449845131147,305.4356472167848,312.62693316739393,5294582
2004-08-30,328.60272216796875,329.85151780065473,314.6077165171577,316.9330510460599,5805773
2004-08-31,328.7750244140625,331.48789755151057,323.13397033011984,329.11951165199866,5090590
2004-09-01,334.6744689941406,335.70793072448714,329.42095311279684,329.8515687377809,5342329
2004-09-02,334.6744689941406,339.62654868145717,331.9185184811659,334.15772498762135,4817519
2004-09-03,335.1050720214844,336.52609827397254,330.7127875552283,335.88017486077877,3594066
2004-09-06,342.3394470214844,345.69824388666586,336.3108278286532,336.3108278286532,4805061
2004-09-07,338.8514709472656,341.9088315983547,337.25818776010476,340.18636897065517,2993793
2004-09-08,337.6888122558594,340.87535243089314,335.14816930042497,338.85147981652756,3587152
2004-09-09,332.0046691894531,340.53085388097037,331.2726173212126,340.10023822702817,3631835
2004-09-10,338.1194152832031,338.8945182004392,328.818101428289,332.43528341898235,4539232
2004-09-13,326.234375,341.04756246879157,324.3396820892324,339.3251000320805,6753948
2004-09-14,305.5648498535156,327.2678887804546,304.1007724364821,325.5884772591619,13274999
2004-09-15,305.3495178222656,310.8183413129864,299.7515149053859,307.4595448193967,16581401
2004-09-16,305.694091796875,310.34473603725786,304.2299879236544,305.73714285321245,5696681
